Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
18-DEC-2024,EDELWEISS,Edelweiss Fin Serv Ltd,SETU SECURITIES PVT LTD,BUY,1000000,137.26
18-DEC-2024,SHOPERSTOP,Shoppers Stop Limited,360 ONE EQUITY OPPORTUNITY FUND,BUY,159338,627.6
18-DEC-2024,SHOPERSTOP,Shoppers Stop Limited,KOTAK MAHINDRA MUTUAL FUND,BUY,956022,627.6
18-DEC-2024,SHOPERSTOP,Shoppers Stop Limited,360 ONE PRIME LIMITED,BUY,239000,627.6
18-DEC-2024,SHOPERSTOP,Shoppers Stop Limited,TATA MUTUAL FUND,BUY,1912050,627.6
18-DEC-2024,SHOPERSTOP,Shoppers Stop Limited,TURNAROUND OPPORTUNITIES FUND,BUY,245856,627.6
18-DEC-2024,SHOPERSTOP,Shoppers Stop Limited,360 ONE ASSET MANAGEMENT LIMITED,BUY,246307,627.6
18-DEC-2024,SHOPERSTOP,Shoppers Stop Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,637351,627.6
18-DEC-2024,EDELWEISS,Edelweiss Fin Serv Ltd,EDELWEISS EMPLOYEES WELFARE TRUST,SELL,1000000,137.26
18-DEC-2024,SHOPERSTOP,Shoppers Stop Limited,AMAZON.COM NV INVESTMENT HOLDINGS LLC,SELL,4395924,627.6
