tradingDate,weekDay,description,morning_session,evening_session,Sr_no
15-Jan-2026,Thursday,Municipal Corporation Election - Maharashtra,,,1
26-Jan-2026,Monday,Republic Day,,,2
15-Feb-2026,Sunday,Mahashivratri,,,3
03-Mar-2026,Tuesday,Holi,,,4
21-Mar-2026,Saturday,Id-Ul-Fitr (Ramadan Eid),,,5
26-Mar-2026,Thursday,Shri Ram Navami,,,6
31-Mar-2026,Tuesday,Shri Mahavir Jayanti,,,7
03-Apr-2026,Friday,Good Friday,,,8
14-Apr-2026,Tuesday,Dr. Baba Saheb Ambedkar Jayanti,,,9
01-May-2026,Friday,Maharashtra Day,,,10
28-May-2026,Thursday,Bakri Id,,,11
26-Jun-2026,Friday,Muharram,,,12
15-Aug-2026,Saturday,Independence Day,,,13
14-Sep-2026,Monday,Ganesh Chaturthi,,,14
02-Oct-2026,Friday,Mahatma Gandhi Jayanti,,,15
20-Oct-2026,Tuesday,Dussehra,,,16
08-Nov-2026,Sunday,Diwali Laxmi Pujan*,,,17
10-Nov-2026,Tuesday,Diwali-Balipratipada,,,18
24-Nov-2026,Tuesday,Prakash Gurpurb Sri Guru Nanak Dev,,,19
25-Dec-2026,Friday,Christmas,,,20
